score,id_hex,id_dec,floor,kind,n_levels,levels,n_cohorts,cohort_ids,n_clusters,cluster_ids,visual_role,visual_name_guess,attack_hint,reasons
60.0,0x33808e1b,864063003,12,sprite,1,MENU,1,C0258,0,,Menu cursor animation frame,CURSOR,visual-targeted:Menu cursor animation frame,floor 12 (medium) | visual role: Menu cursor animation frame | name guess: CURSOR | single-level (vocab constrained)
60.0,0x63848e59,1669631577,13,sprite,1,MENU,6,C0256;C0259;C0262;C0266;C0271;C0275,0,,Menu cursor,CURSOR,visual-targeted:Menu cursor,floor 13 (medium) | visual role: Menu cursor | name guess: CURSOR | single-level (vocab constrained)
53.0,0x4a3ea110,1245618448,13,sprite,1,MENU,0,,7,K0002;K0007;K0014;K0068;K0071;K0076;K0079,Menu door opens to reveal monkey animation,,visual-targeted:Menu door opens to reveal monk,floor 13 (medium) | visual role: Menu door opens to reveal monkey animati | cluster has 7 visual labels | single-level (vocab constrained)
53.0,0x4aee0118,1257111832,13,sprite,1,MEGA,0,,11,K0001;K0008;K0022;K0025;K0026;K0069;K0072;K0074;K0077;K0078;K0081,Shriney Guard boss slamming down animation,,visual-targeted:Shriney Guard boss slamming do,floor 13 (medium) | visual role: Shriney Guard boss slamming down animati | cluster has 12 visual labels | single-level (vocab constrained)
52.0,0x90810000,2424373248,11,audio,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,5,C0006;C0261;C0264;C0265;C0318,0,,,,cohort-anchored:C0006(6),floor 11 (medium) | cohort has 6 confirmed anchors | common asset (likely generic name)
50.0,0x61981a0c,1637358092,16,sprite,8,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,0,,1,K0024,Plain monkey enemy,SCREAMER_MONKEY?,visual-targeted:Plain monkey enemy,visual role: Plain monkey enemy | name guess: SCREAMER_MONKEY? | cluster has 1 visual labels
47.0,0x00e2f188,14872968,10,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0004,0,,Number glyph frames 0-9,,visual-targeted:Number glyph frames 0-9,floor 10 (exhaustive borderline) | visual role: Number glyph frames 0-9 | common asset (likely generic name)
47.0,0x4baf8200,1269793280,15,sprite,1,MEGA,0,,10,K0001;K0006;K0013;K0023;K0070;K0073;K0075;K0080;K0082;K0083,Shriney Guard boss yelling animation,,visual-targeted:Shriney Guard boss yelling ani,visual role: Shriney Guard boss yelling animation | cluster has 11 visual labels | single-level (vocab constrained)
45.0,0xc8f90114,3371761940,13,sprite,1,GLEN,0,,0,,GLEN boss / large enemy creature,,visual-targeted:GLEN boss / large enemy creatu,floor 13 (medium) | visual role: GLEN boss / large enemy creature | single-level (vocab constrained)
42.0,0x28a0c119,681623833,5,sprite,1,MENU,0,,2,K0054;K0122,,,exhaustive-floor,low floor 5 (exhaustive feasible) | single-level (vocab constrained)
42.0,0x38a0c119,950059289,6,sprite,1,MENU,1,C0281,1,K0054,,,exhaustive-floor,low floor 6 (exhaustive feasible) | single-level (vocab constrained)
42.0,0x088c5011,143413265,7,sprite,1,FINN,1,C0232,0,,,,exhaustive-floor,low floor 7 (exhaustive feasible) | single-level (vocab constrained)
42.0,0x30a0c119,815841561,7,sprite,1,MENU,0,,2,K0054;K0122,,,exhaustive-floor,low floor 7 (exhaustive feasible) | single-level (vocab constrained)
39.0,0x512c8430,1361871920,15,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,9,K0002;K0012;K0014;K0034;K0306;K0324;K0326;K0335;K0337,Klaymen running (localized),,visual-targeted:Klaymen running (localized),visual role: Klaymen running (localized) | cluster has 2 visual labels | common asset (likely generic name)
37.0,0x0b2084d0,186680528,12,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0189,0,,Klaymen running (variant),,visual-targeted:Klaymen running (variant),floor 12 (medium) | visual role: Klaymen running (variant) | common asset (likely generic name)
37.0,0x75189608,1964545544,17,sprite,8,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,0,,0,,Plain monkey enemy variant,SCREAMER_MONKEY?,visual-targeted:Plain monkey enemy variant,high floor 17 (long name) | visual role: Plain monkey enemy variant | name guess: SCREAMER_MONKEY?
34.0,0x28c080df,683704543,7,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0291,0,,,,exhaustive-floor,low floor 7 (exhaustive feasible) | common asset (likely generic name)
31.0,0x8ab92024,2327388196,14,sprite,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0292,0,,LOADING screen text + Klaymen,,visual-targeted:LOADING screen text + Klaymen,visual role: LOADING screen text + Klaymen | common asset (likely generic name)
31.0,0x88b9833c,2293859132,15,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0189,0,,Klaymen (player) running/leaping cycle,,visual-targeted:Klaymen (player) running/leapi,visual role: Klaymen (player) running/leaping cycle | common asset (likely generic name)
30.0,0x0c01c014,201441300,8,sprite,1,GLEN,1,C0248,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x10882010,277356560,8,sprite,1,EVIL,1,C0316,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x21842018,562307096,8,sprite,1,FINN,1,C0000,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x2c182010,739778576,8,sprite,1,MEGA,1,C0116,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x68c01218,1757418008,8,sprite,1,MENU,1,C0281,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x08041001,134483969,9,audio,1,WIZZ,0,,1,K0027,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x08089081,134779009,9,audio,1,WIZZ,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x085860d4,140009684,9,sprite,1,MEGA,1,C0114,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x08bc8013,146571283,9,sprite,1,KLOG,1,C0134,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x08de7215,148795925,9,sprite,1,WIZZ,1,C0089,1,K0194,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x18248010,405045264,9,sprite,1,KLOG,1,C0135,2,K0215;K0274,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x18e88310,417891088,9,sprite,1,GLEN,1,C0101,2,K0028;K0160,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x18e88510,417891600,9,sprite,1,GLEN,1,C0101,1,K0028,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x18e88910,417892624,9,sprite,1,GLEN,1,C0101,2,K0028;K0160,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x3080820d,813728269,9,sprite,1,MENU,1,C0281,1,K0030,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x3080840d,813728781,9,sprite,1,MENU,1,C0281,2,K0030;K0162,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x40b18011,1085374481,9,sprite,1,MENU,1,C0281,2,K0032;K0164,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x40b28011,1085440017,9,sprite,1,MENU,0,,1,K0032,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
